Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Давимука,Данило,Михайлович,Чоловіча,23.01.1957,Дантист,місто Погребище,"узвіз Остапа Вишні, буд. 984, Буринь, 44975",+380 63 593-53-71,stetszakhar@example.net
Проценко,Омелян,Сергійович,Чоловіча,24.12.1961,Археолог,місто Теплодар,"вулиця Аеродромний 2-й, буд. 0, Вільногірськ, 03974",+380 88 020-14-48,ivanlutsenko@example.com
Полтавець,Миколай,Миколайович,Чоловіча,02.11.1992,Економіст,село Очаків,"проспект Сергія Уточкіна, буд. 60, Павлоград, 90342",052 476 53 87,adamenkoiaroslava@example.org
Верховинець,Борис,Іванович,Чоловіча,03.11.1998,Будник,село Чигирин,"сквер Балтський 1-й, буд. 9 кв. 7, Обухів, 41222",023 825 74 13,huzserhii@example.org
Хоменко,Левко,Дмитрович,Чоловіча,14.04.1949,Професор,село Корець,"шосе Райдужна, буд. 0, Зимогір'я, 98355",009 848-82-79,leopold40@example.org
Лаба,Федір,Іванович,Чоловіча,13.07.1954,Скульптор,село Токмак,"набережна Гонтаренко, буд. 827, Довжанськ, 47606",+380 88 114-79-12,prokopovychleonid@example.net
Байда,Галина,Дмитрівна,Жіноча,07.10.1989,Підприємець,село Кіцмань,"вулиця Олександра Кутузакія, буд. 2 кв. 21, Горішні Плавні, 70349",+380 92 780 92 21,gmykhailychenko@example.net
Ґерус,Наталія,Миколаївна,Жіноча,11.09.1974,Мірошник,місто Новомосковськ,"сквер Кипарисний 1-й, буд. 4, Угнів, 01111",+380 79 526 08 04,aaronzhurba@example.com
Данилюк,Ярина,Миколаївна,Жіноча,19.04.1956,Композитор,хутір Гуляйполе,"площа Хімічний 2-й, буд. 0 кв. 918, Бобринець, 98988",+380 (55) 057-24-39,eduardshynkarenko@example.com
Колодуб,Охрім,Єгорович,Чоловіча,06.09.1975,Письменник,хутір Василівка ,"парк Успенська, буд. 35, Жмеринка, 83950",+380 72 222 46 43,rteslia@example.com
Рубець,Роман,Володимирович,Чоловіча,29.09.1951,Петрограф,селище Інкерман,"узвіз Транспортна, буд. 2 кв. 007, Чорнобиль, 62639",+380 22 623-40-96,demianpiddubnyi@example.net
Малик,Степан,Михайлович,Чоловіча,30.11.1992,Складальник,село Зборів,"проспект Бокаріуса Миколи, буд. 82 кв. 49, Світловодськ, 91241",253-17-06,edytatelizhenko@example.org
Цимбал,Варфоломій,Михайлович,Чоловіча,30.04.1953,Фізик,селище Ізюм,"провулок Соляна, буд. 457, Тальне, 36665",+380 01 585 10 73,derkachbohuslava@example.com
Стус,Галина,Іванівна,Жіноча,02.12.1980,Ріелтор,місто Охтирка,"вулиця Профспілкова, буд. 1 кв. 955, Первомайський , 10056",+380 (69) 828-80-49,nadiia13@example.net
Аверченко,Максим,Олександрович,Чоловіча,05.01.2000,Єгер,село Богуслав,"узвіз Канатний, буд. 30 кв. 1, Добропілля, 76136",084 001 17 89,mshvedchenko@example.net
Гаврилюк,Ілля,Андрійович,Чоловіча,29.03.1970,Пілот,селище Кривий Ріг,"набережна Керченська, буд. 374 кв. 785, Боково-Хрустальне, 78701",+380 (30) 607-31-69,bazavluchenkoviacheslav@example.com
Бабич,Тетяна,Єгорівна,Жіноча,09.04.1984,Штукатур,село Старокостянтинів,"вулиця Санаторний, буд. 4 кв. 804, Севастополь, 23645",000 098 11 11,shakhraiopanas@example.com
Токар,Гліб,Володимирович,Чоловіча,21.02.1960,Журналіст,селище Жданівка,"набережна Чернівецький, буд. 778 кв. 93, Виноградів, 24735",+380 80 403-68-42,bhydenkovarfolomii@example.net
Гайдамака,Віра,Миколаївна,Жіноча,29.08.1982,Мінералог,село Новогродівка,"шосе Гвардійська, буд. 80, Радехів, 25010",+380 62 076 68 03,kolisnychenkoalla@example.com
Червоненко,Марина,Андріївна,Жіноча,10.12.1975,Круп'є,селище Козятин,"шосе Лиманчик 2-й Лінія 11-та, буд. 57, Старобільськ, 85943",882-37-11,husyk@example.net
Їжак,Марина,Петрівна,Жіноча,10.06.1949,Парфюмер,місто Радомишль,"шосе Соціальна, буд. 6, Сулимівка (Слов'янськ), 01546",797-28-68,amaliia87@example.org
Ґерус,Ярема,Олександрович,Чоловіча,12.01.1984,Різноробочий,місто Корець,"шосе Український 1-й, буд. 46, Добромиль, 13514",+380 (58) 785-13-88,tereza62@example.net
Скорик,Тимофій,Андрійович,Чоловіча,19.03.1965,Краєзнавець,хутір Керч,"провулок Лавкова, буд. 2 кв. 4, Сколе, 70535",+380 96 000-21-81,liza28@example.org
Романенко,Борис,Дмитрович,Чоловіча,16.01.1979,Гірник,селище Комарно,"парк Тульська, буд. 42 кв. 55, Стебник, 80658",+380 23 674-89-86,allazhurba@example.com
Корж,Валентин,Петрович,Чоловіча,08.03.1954,Фармацевт,місто Київ,"парк Восьмого Березня Лінія 5-та, буд. 2, Ніжин, 56190",523-14-09,qarkhymovych@example.net
Павлик,Еріка,Михайлівна,Жіноча,24.03.1991,Кур'єр,село Бурштин ,"провулок Відважних, буд. 72, Золоте, 87553",901 80 90,bdanchuk@example.com
Алексійчук,Ярина,Дмитрівна,Жіноча,24.02.1956,Фольклорист,місто Мирноград,"шосе Санітарна, буд. 97, Сіверськ, 43562",+380 61 185-10-45,ada06@example.com
Голобородько,Любов,Єгорівна,Жіноча,17.11.1945,Стоматолог,село Очаків,"провулок Сергія Ейзенштейна, буд. 33 кв. 7, Радомишль, 15857",067 511 32 51,abramchukdan@example.net
Іванченко,Юстина,Володимирівна,Жіноча,14.07.1944,Ювелір,хутір Глухів,"узвіз Бібліотечна, буд. 880, Дубляни, 44583",190-19-78,nfomenko@example.org
Балабан,Пріска,Єгорівна,Жіноча,02.02.1945,Електромонтажник,хутір Олевськ,"набережна Восьмого березня 9-й, буд. 4 кв. 5, Нововолинськ, 51367",015 410-13-33,viktortarasenko@example.org
Корбут,Віктор,Петрович,Чоловіча,01.07.2002,Бібліотекар,місто Ужгород,"парк Ширяївський, буд. 83 кв. 783, Калуш, 99621",510-57-13,ppustovit@example.org
Устенко,Азар,Сергійович,Чоловіча,10.04.1997,Музикознавець,місто Снятин,"вулиця Грузовий, буд. 78 кв. 6, Теребовля, 67027",057 023-07-34,mykytaivasiuk@example.com
Байда,Віолетта,Олександрівна,Жіноча,17.03.2005,Журналіст,хутір Чорноморськ,"провулок Розумовський 1-й, буд. 196 кв. 37, Апостолове, 44377",+380 41 132 74 37,symonzhaivoron@example.com
Худяк,Зорян,Єгорович,Чоловіча,26.08.1969,Фармацевт,місто Богуслав,"вулиця 13-та Лінія 6-й ст. Люстдорфської дороги, буд. 249, Баштанка, 64051",+380 13 444 21 29,parmenbaklan@example.net
Скоробогатько,Валентин,Володимирович,Чоловіча,14.06.1984,Педагог,місто Вільнянськ,"шосе Дальній, буд. 17 кв. 871, Новоселиця, 84486",+380 (87) 620-85-70,tesliasvitlana@example.net
Данченко,Аніта,Михайлівна,Жіноча,24.06.1941,Парфюмер,місто Луганськ,"провулок Державіна, буд. 781 кв. 0, Боярка, 24077",572-57-58,ihnat80@example.net
Шеремета,Охрім,Іванович,Чоловіча,08.11.1987,Агроном,селище Стебник,"шосе Привокзальний, буд. 58 кв. 97, Нікополь, 55220",082 766-58-78,serhii28@example.com
Царенко,Арсен,Миколайович,Чоловіча,23.10.1997,Електротехнік,селище Перещепине,"узвіз Іванівський переїзд, буд. 96 кв. 510, Буськ, 28060",043 659-94-91,ostap40@example.org
Тимченко,Омелян,Андрійович,Чоловіча,29.06.1958,Прокурор,хутір Болехів,"вулиця Соляний 1-й, буд. 43, Ромни, 77721",+380 92 433-65-96,hordiisimashkevych@example.net
Алексійчук,Валерій,Петрович,Чоловіча,30.12.1944,Нотаріус,місто Борислав,"вулиця Херсонський, буд. 1, Миколаївка , 84246",252 18 55,nosenkooryna@example.org
Лесик,Левко,Єгорович,Чоловіча,05.01.1974,Редактор,селище Коростень,"сквер Пересипська 5-та, буд. 5, Джанкой, 96527",+380 77 917 25 15,prokopovychodarka@example.org
